country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Seychelles,SYC,IMRT_IN,12.7,12.8,12.7,12.5,12.3
Sierra Leone,SLE,IMRT_IN,95.1,89.7,87.3,84.8,82.4
South Africa,ZAF,IMRT_IN,28.6,28,27.6,26.9,26.3
South Sudan,SSD,IMRT_IN,63.3,63.3,63.3,63.3,63.3
Sudan,SDN,IMRT_IN,45.2,44.1,43,42,41
Tanzania,TZA,IMRT_IN,40.9,39.7,38.2,36.8,35.8
Togo,TGO,IMRT_IN,50.8,49.4,48.1,46.8,45.5
Tunisia,TUN,IMRT_IN,14.8,14.7,14.7,14.6,14.5
Uganda,UGA,IMRT_IN,38.9,37.3,35.7,34.1,33
Zambia,ZMB,IMRT_IN,46.9,45.6,44.3,43.9,42.9
Zimbabwe,ZWE,IMRT_IN,42.1,40.8,39.9,38.8,38.1
Algeria,DZA,LE_BTH,75.622,75.732,75.743,76.066,76.474
Angola,AGO,LE_BTH,60.655,61.092,61.68,62.144,62.448
Benin,BEN,LE_BTH,59.377,59.539,59.856,60.14,60.454
Botswana,BWA,LE_BTH,63.818,65.464,66.753,65.422,65.464
Burkina Faso,BFA,LE_BTH,58.845,59.326,59.536,60.047,60.039
Burundi,BDI,LE_BTH,60.217,60.793,61.553,61.688,62.351
Cabo Verde,CPV,LE_BTH,74.62,75.742,76.593,75.733,76.004
Cameroon,CMR,LE_BTH,59.658,60.233,60.81,61.18,61.584
Central African Republic,CAF,LE_BTH,52.793,53.46,53.721,54.369,55.025
Chad,TCD,LE_BTH,51.589,52.083,52.308,52.825,53.259
Comoros,COM,LE_BTH,62.896,63.237,63.625,63.912,64.068
"Congo, Dem. Rep.",COD,LE_BTH,58.49,59.066,59.411,59.942,60.276
"Congo, Rep.",COG,LE_BTH,63.233,63.577,63.76,64.053,62.747
Cote d'Ivoire,CIV,LE_BTH,57.762,58.06,58.48,58.849,59.319
Djibouti,DJI,LE_BTH,61.957,62.191,62.797,63.038,63.085
"Egypt, Arab Rep.",EGY,LE_BTH,70.483,70.844,71.302,71.367,71.358
Equatorial Guinea,GNQ,LE_BTH,60.103,60.479,60.821,61.191,61.644
Guinea,GIN,LE_BTH,58.134,58.763,59.109,59.349,59.72
Guinea-Bissau,GNB,LE_BTH,59.128,59.674,60.066,60.502,60.882
